"TAXONOMIC.ORDER","SCIENTIFIC.NAME","COMMON.NAME","STATUS","COUNT","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
5407,"Amaurornis phoenicurus","White-breasted Waterhen","Regular",20,25,31,35,48,77,66,44,42,45,53,62,116,775,1634,2382,3260,3977,4256,5315,5340
5436,"Rallina eurizonoides","Slaty-legged Crake","Sporadic",10,0,0,1,0,0,0,0,2,0,0,0,0,3,5,11,10,16,21,45,58
5445,"Zapornia fusca","Ruddy-breasted Crake","Sporadic",15,4,3,2,0,2,0,0,0,0,3,4,12,35,66,87,157,83,197,164,182
5456,"Zapornia pusilla","Baillon's Crake","Sporadic",15,1,3,0,0,2,1,3,1,0,1,0,0,9,41,98,126,48,45,108,42
5601,"Burhinus indicus","Indian Thick-knee","Sporadic",8,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,19,12,41,125,147
5616,"Esacus recurvirostris","Great Thick-knee","Sporadic",10,0,0,0,0,0,0,0,0,0,2,0,1,1,4,8,9,11,5,25,71
5619,"Himantopus himantopus","Black-winged Stilt","Regular",20,10,12,16,12,20,15,8,8,7,10,12,34,327,721,918,1110,1105,1194,620,896
5633,"Recurvirostra avosetta","Pied Avocet","Sporadic",11,0,0,0,1,0,0,1,0,1,1,1,1,1,14,4,9,0,14,0,0
5640,"Haematopus ostralegus","Eurasian Oystercatcher","Sporadic",13,1,0,0,0,1,0,0,0,0,3,5,7,6,25,14,16,18,32,49,32
5664,"Pluvialis squatarola","Black-bellied Plover","Sporadic",19,1,2,6,1,3,3,2,0,3,6,5,10,28,22,16,29,43,141,115,95
5668,"Pluvialis dominica","American Golden-Plover","Sporadic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5669,"Pluvialis fulva","Pacific Golden-Plover","Regular",20,12,5,13,7,15,15,7,10,5,12,17,33,178,258,310,526,382,457,525,691
5683,"Vanellus malabaricus","Yellow-wattled Lapwing","Sporadic",19,0,1,2,1,6,7,1,2,1,4,11,12,41,184,152,255,214,265,395,500
5702,"Vanellus cinereus","Gray-headed Lapwing","Sporadic",15,0,1,0,0,0,1,0,3,1,1,3,8,10,34,20,32,35,40,69,69
5703,"Vanellus indicus","Red-wattled Lapwing","Regular",20,26,40,24,23,87,86,49,65,49,83,85,152,1113,2637,3181,4140,4329,5044,5922,5595
5714,"Vanellus leucurus","White-tailed Lapwing","Sporadic",4,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,15
5727,"Charadrius mongolus","Lesser Sand-Plover","Regular",20,3,4,10,4,15,15,3,6,11,25,19,29,162,332,207,410,381,685,659,675
5735,"Charadrius leschenaultii","Greater Sand-Plover","Sporadic",19,3,1,3,0,1,3,1,4,5,15,10,18,98,145,52,151,140,256,225,205
5740,"Charadrius asiaticus","Caspian Plover","Sporadic",5,0,0,0,0,0,0,0,0,0,0,0,8,1,1,0,0,1,1,0,0
5750,"Charadrius alexandrinus","Kentish Plover","Regular",20,6,7,3,5,10,9,6,5,7,14,8,15,69,111,95,176,163,193,207,230
5767,"Charadrius hiaticula","Common Ringed Plover","Sporadic",8,0,0,0,0,0,0,0,0,0,0,0,0,9,11,10,15,13,23,18,27
5775,"Charadrius dubius","Little Ringed Plover","Regular",20,6,7,9,11,25,25,7,13,6,23,17,30,117,276,410,544,470,645,598,695
5825,"Rostratula benghalensis","Greater Painted-Snipe","Sporadic",16,3,1,1,0,4,3,0,0,0,1,3,3,14,42,54,103,48,64,64,79
5835,"Hydrophasianus chirurgus","Pheasant-tailed Jacana","Regular",20,4,12,8,7,14,16,9,9,9,11,25,44,95,196,325,705,451,615,615,593
5836,"Metopidius indicus","Bronze-winged Jacana","Regular",20,10,17,14,12,32,36,18,22,24,25,44,72,386,967,1167,1233,1308,1549,1473,1560
5854,"Numenius phaeopus","Whimbrel","Sporadic",19,3,1,1,0,5,4,6,2,5,8,13,18,85,180,145,173,151,316,242,325
5869,"Numenius arquata","Eurasian Curlew","Sporadic",19,4,2,5,4,3,2,2,6,2,0,4,9,43,48,92,94,82,110,81,52
5875,"Limosa lapponica","Bar-tailed Godwit","Sporadic",16,1,0,2,0,5,1,1,2,0,2,0,5,4,23,27,25,44,17,43,32
5880,"Limosa limosa","Black-tailed Godwit","Sporadic",19,2,4,1,3,4,3,0,4,1,1,5,12,87,136,187,250,245,326,164,290
5891,"Arenaria interpres","Ruddy Turnstone","Sporadic",15,1,0,0,0,1,0,0,3,7,4,7,14,49,83,56,60,63,107,61,70
5899,"Calidris tenuirostris","Great Knot","Sporadic",14,1,0,0,0,0,0,0,1,1,3,1,5,9,25,10,9,3,7,4,14
5900,"Calidris canutus","Red Knot","Sporadic",3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0
5911,"Calidris pugnax","Ruff","Sporadic",17,4,1,3,2,0,0,0,2,2,1,2,3,28,26,50,85,78,49,59,46
5912,"Calidris falcinellus","Broad-billed Sandpiper","Sporadic",15,1,0,0,0,1,0,1,2,1,0,3,4,20,34,9,52,35,62,84,37
5917,"Calidris ferruginea","Curlew Sandpiper","Regular",20,1,7,1,1,2,2,2,3,2,3,5,9,74,66,64,113,98,108,105,105
5918,"Calidris temminckii","Temminck's Stint","Sporadic",19,10,6,6,3,4,2,1,2,0,4,9,9,53,78,112,216,199,242,203,285
5919,"Calidris subminuta","Long-toed Stint","Sporadic",9,0,0,0,0,0,1,1,0,0,0,0,0,0,7,8,54,20,30,9,26
5922,"Calidris alba","Sanderling","Sporadic",18,1,0,1,1,4,4,0,2,3,6,9,18,47,79,54,75,82,149,165,147
5923,"Calidris alpina","Dunlin","Sporadic",17,1,0,1,1,1,3,1,1,0,0,3,2,5,15,6,18,15,15,46,16
5946,"Calidris minuta","Little Stint","Regular",20,7,9,8,4,8,9,4,6,4,6,10,14,76,155,201,361,255,393,282,321
5951,"Calidris subruficollis","Buff-breasted Sandpiper","Sporadic",1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
5953,"Calidris melanotos","Pectoral Sandpiper","Sporadic",3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,1,0,0,0
5961,"Limnodromus semipalmatus","Asian Dowitcher","Sporadic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
5966,"Limnodromus scolopaceus","Long-billed Dowitcher","Sporadic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5968,"Lymnocryptes minimus","Jack Snipe","Sporadic",4,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
5969,"Scolopax rusticola","Eurasian Woodcock","Sporadic",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5992,"Gallinago nemoricola","Wood Snipe","Sporadic",2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5994,"Gallinago gallinago","Common Snipe","Sporadic",18,2,6,3,0,0,2,1,3,5,6,13,22,73,104,103,247,193,263,244,311
6006,"Gallinago stenura","Pin-tailed Snipe","Sporadic",17,0,3,0,0,3,2,2,4,5,2,5,10,43,117,213,180,93,148,170,267
6019,"Xenus cinereus","Terek Sandpiper","Sporadic",19,1,0,2,1,3,5,1,2,4,4,4,18,54,91,66,60,56,107,112,109
6021,"Phalaropus lobatus","Red-necked Phalarope","Sporadic",4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,10
6025,"Actitis hypoleucos","Common Sandpiper","Regular",20,28,29,23,21,64,64,30,32,42,62,81,110,666,1288,1462,2042,2124,2444,2214,2349
6028,"Tringa ochropus","Green Sandpiper","Regular",20,19,16,12,10,26,25,16,18,23,36,40,49,125,219,281,472,489,522,561,534
6035,"Tringa erythropus","Spotted Redshank","Sporadic",10,0,0,0,0,0,0,0,2,1,0,0,0,7,16,9,9,24,14,14,29
6037,"Tringa nebularia","Common Greenshank","Regular",20,12,14,10,6,29,31,6,14,10,38,26,52,245,452,563,697,845,999,780,1056
6045,"Tringa stagnatilis","Marsh Sandpiper","Regular",20,12,10,8,5,18,13,6,9,4,6,11,19,137,199,212,293,365,426,230,288
6046,"Tringa glareola","Wood Sandpiper","Regular",20,25,25,20,17,28,42,21,21,18,35,57,82,443,1066,1278,1567,1601,1802,1631,1946
6047,"Tringa totanus","Common Redshank","Regular",20,6,6,7,3,20,20,6,5,3,13,11,24,130,171,194,327,323,423,291,370
6085,"Turnix tanki","Yellow-legged Buttonquail","Sporadic",9,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,1,3,1,6,4
6091,"Turnix suscitator","Barred Buttonquail","Sporadic",11,0,0,0,0,0,0,1,0,0,0,2,1,1,5,3,8,21,21,19,25
6124,"Dromas ardeola","Crab-Plover","Sporadic",11,0,0,0,0,0,0,1,0,0,1,1,5,8,5,5,7,0,35,8,1
6152,"Glareola pratincola","Collared Pratincole","Sporadic",8,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,6,3,7,11,11
6156,"Glareola maldivarum","Oriental Pratincole","Sporadic",12,0,0,0,0,0,1,0,1,0,1,0,3,4,6,2,16,6,10,19,6
6165,"Glareola lactea","Small Pratincole","Regular",20,7,8,9,3,3,3,2,6,7,10,11,9,40,66,99,141,105,135,137,139
6170,"Stercorarius maccormicki","South Polar Skua","Sporadic",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6171,"Stercorarius antarcticus","Brown Skua","Sporadic",2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6176,"Stercorarius pomarinus","Pomarine Jaeger","Sporadic",10,0,0,0,0,0,0,2,0,0,0,3,2,0,2,7,21,15,2,6,4
6177,"Stercorarius parasiticus","Parasitic Jaeger","Sporadic",13,0,0,0,0,0,0,1,0,3,7,14,5,7,37,15,43,37,10,12,16
6179,"Stercorarius longicaudus","Long-tailed Jaeger","Sporadic",6,0,0,0,0,0,0,0,0,0,2,5,0,0,2,2,2,1,0,0,0
6254,"Rissa tridactyla","Black-legged Kittiwake","Sporadic",2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0
6260,"Xema sabini","Sabine's Gull","Sporadic",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6266,"Chroicocephalus genei","Slender-billed Gull","Sporadic",12,0,0,1,1,0,0,0,0,0,3,0,3,5,25,67,42,38,111,41,32
6285,"Chroicocephalus ridibundus","Black-headed Gull","Regular",20,3,4,7,3,17,11,2,4,6,19,12,13,57,163,231,158,226,273,141,178
6288,"Chroicocephalus brunnicephalus","Brown-headed Gull","Regular",20,2,5,3,3,13,11,4,4,6,23,17,16,61,177,220,154,301,347,254,258
6309,"Ichthyaetus ichthyaetus","Pallas's Gull","Sporadic",19,2,1,0,1,9,3,3,2,1,5,3,3,6,23,19,34,73,36,34,35
6318,"Larus canus","Common Gull","Sporadic",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0
6352,"Larus cachinnans","Caspian Gull","Sporadic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6368,"Larus fuscus","Lesser Black-backed Gull","Sporadic",18,0,0,2,1,4,3,3,4,5,10,5,10,43,90,80,120,188,227,244,286
6410,"Anous stolidus","Brown Noddy","Sporadic",6,0,0,1,0,0,0,0,0,0,0,3,2,2,0,0,0,1,0,1,0
6426,"Anous tenuirostris","Lesser Noddy","Sporadic",5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0
6440,"Gygis alba","White Tern","Sporadic",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
6446,"Onychoprion fuscatus","Sooty Tern","Sporadic",7,0,0,0,0,0,0,0,0,0,4,2,1,4,0,0,0,0,2,4,2
6456,"Onychoprion anaethetus","Bridled Tern","Sporadic",13,0,0,1,0,0,0,0,0,2,28,23,11,12,30,18,26,10,12,17,5
6465,"Sternula albifrons","Little Tern","Regular",20,1,8,5,1,1,2,3,2,3,3,4,5,33,62,27,136,150,113,92,103
6493,"Gelochelidon nilotica","Gull-billed Tern","Regular",20,2,6,8,2,14,9,6,4,8,9,10,17,73,156,188,259,230,237,194,159
6501,"Hydroprogne caspia","Caspian Tern","Sporadic",11,1,0,0,0,1,2,0,0,0,0,0,0,3,20,9,58,30,72,33,18
6503,"Chlidonias niger","Black Tern","Sporadic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6506,"Chlidonias leucopterus","White-winged Tern","Sporadic",10,0,0,0,0,0,0,0,0,0,0,2,1,2,6,1,19,4,2,12,5
6507,"Chlidonias hybrida","Whiskered Tern","Regular",20,35,33,42,22,58,55,40,45,49,65,76,124,792,1412,1794,2046,2621,2042,1716,1899
6513,"Sterna dougallii","Roseate Tern","Sporadic",2,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
6523,"Sterna sumatrana","Black-naped Tern","Sporadic",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6526,"Sterna hirundo","Common Tern","Sporadic",16,0,0,0,0,2,2,3,4,4,9,3,9,34,66,51,85,90,116,77,85
6549,"Sterna acuticauda","Black-bellied Tern","Sporadic",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0
6550,"Sterna aurantia","River Tern","Regular",20,1,8,10,2,20,9,21,16,7,28,16,27,137,242,275,395,378,393,397,303
6556,"Thalasseus bergii","Great Crested Tern","Sporadic",19,1,1,0,1,1,1,3,2,3,15,7,13,27,101,52,95,81,203,199,166
6561,"Thalasseus sandvicensis","Sandwich Tern","Sporadic",17,1,0,0,2,1,0,1,1,5,5,3,2,7,31,22,19,12,31,25,19
6569,"Thalasseus bengalensis","Lesser Crested Tern","Regular",20,1,1,2,1,2,2,3,2,4,14,11,9,35,103,56,117,85,195,177,150
6592,"Phaethon lepturus","White-tailed Tropicbird","Sporadic",4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
6599,"Phaethon aethereus","Red-billed Tropicbird","Sporadic",6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,2,0,0
6685,"Oceanites oceanicus","Wilson's Storm-Petrel","Sporadic",10,0,0,0,0,0,0,0,0,0,15,14,5,1,29,10,29,0,27,2,1
6732,"Hydrobates monorhis","Swinhoe's Storm-Petrel","Sporadic",9,0,0,0,0,0,0,0,0,0,9,14,3,4,19,2,3,1,6,0,0
6846,"Bulweria fallax","Jouanin's Petrel","Sporadic",4,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,1,0,0
6862,"Calonectris leucomelas","Streaked Shearwater","Sporadic",2,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
6863,"Calonectris diomedea","Cory's Shearwater","Sporadic",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
